"Rank(total)","Country","Total (percent)","Date"
159,"Sint Maarten",18.5,"2016 est."
160,"Albania",18.4,"2016 est."
161,"Barbados",18.1,"2016 est."
161,"Cayman Islands",18.1,"2016 est."
163,"Moldova",18,"2016 est."
164,"Norway",18,"2016 est."
165,"Georgia",17.9,"2016 est."
166,"Australia",17.8,"2016 est."
167,"Aruba",17.7,"2016 est."
168,"United Kingdom of Great Britain and Northern Ireland",17.4,"2016 est."
169,"Puerto Rico",17.4,"2016 est."
170,"Sweden",17.3,"2016 est."
171,"Macedonia",17.3,"2016 est."
172,"Virgin Islands of the U.S.",17.2,"2016 est."
173,"Thailand",17.2,"2016 est."
174,"Bermuda",17.2,"2016 est."
175,"Belgium",17.1,"2016 est."
176,"China",17.1,"2016 est."
177,"Russia",16.9,"2016 est."
178,"Saint Barthelemy",16.9,"2016 est."
179,"Luxembourg",16.8,"2016 est."
180,"British Virgin Islands",16.8,"2016 est."
181,"Cuba",16.7,"2016 est."
182,"Denmark",16.6,"2016 est."
183,"Netherlands",16.6,"2016 est."
184,"Finland",16.4,"2016 est."
185,"Isle of Man",16.3,"2016 est."
186,"Montserrat",16.3,"2016 est."
186,"Saint Helena, Ascension and Tristan da Cunha",16.3,"2016 est."
188,"Estonia",16.1,"2016 est."
189,"Jersey",16.1,"2016 est."
190,"Belarus",15.7,"2016 est."
191,"Cyprus",15.6,"2016 est."
192,"Saint Pierre and Miquelon",15.6,"2016 est."
193,"Ukraine",15.5,"2016 est."
194,"Portugal",15.5,"2016 est."
195,"San Marino",15.5,"2016 est."
196,"Canada",15.4,"2016 est."
197,"Spain",15.4,"2016 est."
198,"Liechtenstein",15.4,"2016 est."
199,"Slovakia",15.1,"2016 est."
200,"Montenegro",15.1,"2016 est."
201,"Switzerland",15.1,"2016 est."
202,"Czech Republic",15.1,"2016 est."
203,"Latvia",15,"2016 est."
203,"Malta",15,"2016 est."
205,"Lithuania",14.9,"2016 est."
206,"Hungary",14.8,"2016 est."
207,"Andorra",14.7,"2016 est."
208,"Poland",14.7,"2016 est."
209,"Serbia",14.6,"2016 est."
210,"Bulgaria",14.5,"2016 est."
211,"Guernsey",14.5,"2016 est."
212,"Romania",14.4,"2016 est."
213,"Croatia",14.2,"2016 est."
213,"Macau",14.2,"2016 est."
215,"Austria",14,"2016 est."
216,"Greece",13.9,"2016 est."
217,"Italy",13.7,"2016 est."
218,"Korea (South)",13.5,"2016 est."
219,"Bosnia and Herzegovina",13.4,"2016 est."
220,"Slovenia",13.4,"2016 est."
221,"Taiwan",13.1,"2016 est."
222,"Japan",13,"2016 est."
223,"Singapore",12.9,"2016 est."
224,"Germany",12.8,"2016 est."
225,"Christmas Island",12.8,"2016 est."
226,"Qatar",12.6,"2016 est."
227,"Hong Kong",12.1,"2016 est."
228,"Monaco",11.1,"2016 est."
NA,"World",25.4,"2016 est."
